Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00007826	WBGene00007826	C30H6.9	Caenorhabditis elegans	protein_coding_gene	C30H6.9	CELE_C30H6.9	N.A.	ABplpppaaa, ABprpppaaa, AFD, germ line, oocyte, PLM	"membrane"
WBGene00007827	WBGene00007827	trh-1	Caenorhabditis elegans	protein_coding_gene	C30H6.10	nlp-54, CELE_C30H6.10	M4 neuron, M5 neuron	ABalapapapa, ABalapppapa, ABplpaaappa, ABprpaaappa, ALML, ALMR, anterior arcade cell, AVHL, AVHR, BDUL, BDUR, g2L, g2R, HSNL, I3 neuron, I4 neuron, M4 neuron, M5 neuron, MC neuron, MCL, MCR, MI neuron, neuron, OLQDL, OLQDR, OLQVL, OLQVR, RICL, RICR, RIS	N.A.
WBGene00007829	WBGene00007829	oac-5	Caenorhabditis elegans	protein_coding_gene	C31A11.1	CELE_C31A11.1	N.A.	intestine	"acyltransferase activity, transferring groups other than amino-acyl groups", "membrane"
WBGene00007830	WBGene00007830	C31A11.2	Caenorhabditis elegans	transposable_element_gene	C31A11.2	N.A.	N.A.	N.A.	N.A.
WBGene00007831	WBGene00007831	srbc-83	Caenorhabditis elegans	protein_coding_gene	C31A11.3	CELE_C31A11.3	N.A.	ASKL, ASKR, neuron	"G protein-coupled receptor activity", "G protein-coupled receptor signaling pathway", "membrane", "non-motile cilium", "periciliary membrane compartment"
WBGene00007832	WBGene00007832	srbc-82	Caenorhabditis elegans	protein_coding_gene	C31A11.4	CELE_C31A11.4	N.A.	AVK, germ line, neuron	"G protein-coupled receptor activity", "G protein-coupled receptor signaling pathway", "membrane", "non-motile cilium", "periciliary membrane compartment"
WBGene00007833	WBGene00007833	oac-6	Caenorhabditis elegans	protein_coding_gene	C31A11.5	CELE_C31A11.5	N.A.	GLR, intestine	"acyltransferase activity, transferring groups other than amino-acyl groups", "membrane"
WBGene00007834	WBGene00007834	srxa-7	Caenorhabditis elegans	protein_coding_gene	C31A11.6	CELE_C31A11.6	amphid neuron, ASHL, ASHR, ASIL, ASIR, head neuron, intestine, nervous system, neuron, PHAL, PHAR, phasmid neuron, PVT, tail neuron	neuron, PHB	"membrane"
WBGene00007835	WBGene00007835	oac-7	Caenorhabditis elegans	protein_coding_gene	C31A11.7	CELE_C31A11.7	N.A.	amphid sheath cell, GLR, gon_male_dtc anterior, gon_male_dtc posterior, somatic gonad precursor, Z1, Z1.p, Z4, Z4.a	"acyltransferase activity, transferring groups other than amino-acyl groups", "membrane"
WBGene00007836	WBGene00007836	phdh-1	Caenorhabditis elegans	protein_coding_gene	C31C9.2	CELE_C31C9.2	head neuron, hypodermis, intestine, nervous system, pharynx, seam cell	body wall musculature, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, DD1, intestine, pharynx, PLM, seam cell, somatic gonad precursor	"NAD binding", "oxidoreductase activity", "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor", "phosphoglycerate dehydrogenase activity"
WBGene00007837	WBGene00007837	fbxa-167	Caenorhabditis elegans	protein_coding_gene	C31C9.3	CELE_C31C9.3	N.A.	ALML, ALMR, BDUL, BDUR, body wall muscle cell, DA neuron, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DA8, DA9, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DD1, DD2, DD3, DD4, DD5, DD6, GLR, head mesodermal cell, hypodermis, I5 neuron, neuron, PLM, PVR, retrovesicular ganglion, RICL, RICR, RID, RIVL, RIVR, SAB, sensory neuron, SIADL, SIADR, SIAVL, SIAVR, SIBDL, SIBDR, SIBVL, SIBVR, SMBDL, SMBDR, SMBVL, SMBVR, VA neuron	"protein binding"
WBGene00007838	WBGene00007838	fbxa-168	Caenorhabditis elegans	pseudogene	C31C9.4	CELE_C31C9.4	N.A.	PLM, Z1, Z4	N.A.
WBGene00007839	WBGene00007839	C31C9.5	Caenorhabditis elegans	transposable_element_gene	C31C9.5	N.A.	N.A.	N.A.	N.A.
WBGene00007840	WBGene00007840	C31C9.6	Caenorhabditis elegans	protein_coding_gene	C31C9.6	CELE_C31C9.6	N.A.	ASER, G2, intestine, W cell	"cytoplasm", "nucleus"
