name,wormbase_id
srh-287,WBGene00005491
srh-288,WBGene00005492
srh-289,WBGene00005493
srh-290,WBGene00005494
srh-291,WBGene00005495
srh-292,WBGene00005496
srh-293,WBGene00005497
srh-294,WBGene00005498
srh-295,WBGene00005499
srh-296,WBGene00005500
srh-297,WBGene00005501
srh-298,WBGene00005502
srh-299,WBGene00005503
srh-300,WBGene00005504
srh-301,WBGene00005505
srh-302,WBGene00005506
srh-303,WBGene00005507
srh-304,WBGene00005508
srh-305,WBGene00005509
srh-306,WBGene00005510
srh-307,WBGene00005511
srh-105,WBGene00005512
sri-1,WBGene00005513
sri-2,WBGene00005514
sri-3,WBGene00005515
sri-4,WBGene00005516
sri-5,WBGene00005517
sri-6,WBGene00005518
sri-7,WBGene00005519
sri-8,WBGene00005520
sri-9,WBGene00005521
sri-10,WBGene00005522
sri-11,WBGene00005523
sri-12,WBGene00005524
sri-13,WBGene00005525
sri-14,WBGene00005526
sri-15,WBGene00005527
sri-16,WBGene00005528
sri-17,WBGene00005529
sri-18,WBGene00005530
sri-19,WBGene00005531
sri-20,WBGene00005532
sri-21,WBGene00005533
sri-22,WBGene00005534
sri-23,WBGene00005535
sri-24,WBGene00005536
sri-25,WBGene00005537
sri-26,WBGene00005538
sri-27,WBGene00005539
sri-28,WBGene00005540
sri-29,WBGene00005541
sri-30,WBGene00005542
sri-31,WBGene00005543
sri-32,WBGene00005544
sri-33,WBGene00005545
sri-34,WBGene00005546
sri-35,WBGene00005547
sri-36,WBGene00005548
sri-37,WBGene00005549
sri-38,WBGene00005550
sri-39,WBGene00005551
sri-40,WBGene00005552
sri-41,WBGene00005553
sri-42,WBGene00005554
sri-43,WBGene00005555
sri-44,WBGene00005556
sri-45,WBGene00005557
sri-46,WBGene00005558
sri-47,WBGene00005559
sri-48,WBGene00005560
sri-49,WBGene00005561
sri-50,WBGene00005562
sri-51,WBGene00005563
sri-52,WBGene00005564
sri-53,WBGene00005565
sri-54,WBGene00005566
sri-55,WBGene00005567
sri-56,WBGene00005568
sri-57,WBGene00005569
sri-58,WBGene00005570
sri-59,WBGene00005571
sri-60,WBGene00005572
sri-61,WBGene00005573
sri-62,WBGene00005574
sri-63,WBGene00005575
sri-64,WBGene00005576
sri-65,WBGene00005577
sri-66,WBGene00005578
sri-67,WBGene00005579
sri-68,WBGene00005580
sri-69,WBGene00005581
sri-70,WBGene00005582
sri-71,WBGene00005583
sri-72,WBGene00005584
sri-73,WBGene00005585
sri-74,WBGene00005586
sri-75,WBGene00005587
sri-76,WBGene00005588
sri-77,WBGene00005589
sri-78,WBGene00005590
srj-1,WBGene00005591
srj-4,WBGene00005592
srj-5,WBGene00005593
srj-6,WBGene00005594
srj-7,WBGene00005595
srj-8,WBGene00005596
srj-9,WBGene00005597
srj-10,WBGene00005598
srj-11,WBGene00005599
srj-12,WBGene00005600
srj-13,WBGene00005601
srj-14,WBGene00005602
srj-15,WBGene00005603
srj-16,WBGene00005604
srj-17,WBGene00005605
srj-18,WBGene00005606
srj-19,WBGene00005607
srj-20,WBGene00005608
srj-21,WBGene00005609
srj-22,WBGene00005610
srj-23,WBGene00005611
srj-24,WBGene00005612
srj-25,WBGene00005613
srj-26,WBGene00005614
srj-27,WBGene00005615
srj-29,WBGene00005616
srj-32,WBGene00005617
srj-33,WBGene00005618
srj-34,WBGene00005619
srj-35,WBGene00005620
srj-37,WBGene00005621
srj-38,WBGene00005622
srj-39,WBGene00005623
srj-40,WBGene00005624
srj-42,WBGene00005625
srj-44,WBGene00005626
srj-45,WBGene00005627
srj-49,WBGene00005628
srj-50,WBGene00005629
srj-51,WBGene00005630
srj-52,WBGene00005631
srj-53,WBGene00005632
srj-54,WBGene00005633
srj-55,WBGene00005634
srj-57,WBGene00005635
srl-1,WBGene00005636
srl-2,WBGene00005637
srm-1,WBGene00005638
srm-2,WBGene00005639
srn-1,WBGene00005640
sro-1,WBGene00005641
srp-1,WBGene00005642
srp-2,WBGene00005643
srp-3,WBGene00005644
srp-5,WBGene00005646
srp-6,WBGene00005647
srp-7,WBGene00005648
srp-8,WBGene00005649
srp-9,WBGene00005650
srp-10,WBGene00005651
srr-1,WBGene00005652
srr-2,WBGene00005653
srr-3,WBGene00005654
srr-4,WBGene00005655
srr-5,WBGene00005656
srr-6,WBGene00005657
srr-7,WBGene00005658
srr-8,WBGene00005659
srr-9,WBGene00005660
srr-10,WBGene00005661
sru-1,WBGene00005664
sru-2,WBGene00005665
sru-3,WBGene00005666
sru-4,WBGene00005667
sru-5,WBGene00005668
sru-6,WBGene00005669
sru-7,WBGene00005670
sru-8,WBGene00005671
sru-9,WBGene00005672
sru-10,WBGene00005673
sru-11,WBGene00005674
sru-12,WBGene00005675
sru-13,WBGene00005676
sru-14,WBGene00005677
sru-15,WBGene00005678
sru-16,WBGene00005679
sru-17,WBGene00005680
sru-18,WBGene00005681
sru-19,WBGene00005682
sru-20,WBGene00005683
sru-21,WBGene00005684
sru-22,WBGene00005685
sru-23,WBGene00005686
sru-24,WBGene00005687
sru-25,WBGene00005688
sru-26,WBGene00005689
sru-27,WBGene00005690
sru-28,WBGene00005691
sru-29,WBGene00005692
